NN,MovieName,Duration,Genre
24, Saving Private Ryan,2h 49m,"Drama,War"
23, The Silence of the Lambs,1h 58m,"Crime,Drama,Thriller"
22, Seven Samurai,3h 27m,"Action,Drama"
21, It's a Wonderful Life,2h 10m,"Drama,Family,Fantasy"
20, Se7en,2h 7m,"Crime,Drama,Mystery"
19, One Flew Over the Cuckoo's Nest,2h 13m,Drama
18, Goodfellas,2h 25m,"Biography,Crime,Drama"
17, The Matrix,2h 16m,"Action,Sci-Fi"
16, Star Wars: Episode V - The Empire Strikes Back,2h 4m,"Action,Adventure,Fantasy"
15, Inception,2h 28m,"Action,Adventure,Sci-Fi"
14, The Lord of the Rings: The Two Towers,2h 59m,"Action,Adventure,Drama"
13, Fight Club,2h 19m,Drama
12, Spider-Man: Across the Spider-Verse,2h 20m,"Animation,Action,Adventure"
11, Forrest Gump,2h 22m,"Drama,Romance"
10," The Good, the Bad and the Ugly",2h 58m,"Adventure,Western"
9, The Lord of the Rings: The Fellowship of the Ring,2h 58m,"Action,Adventure,Drama"
250, Dances with Wolves,3h 1m,"Adventure,Drama,Western"
249, Aladdin,1h 30m,"Animation,Adventure,Comedy"
248, Life of Brian,1h 34m,Comedy
247, The Iron Giant,1h 26m,"Animation,Action,Adventure"
246, The Help,2h 26m,Drama
245, Persona,1h 23m,"Drama,Thriller"
244, The 400 Blows,1h 39m,"Crime,Drama"
243, It Happened One Night,1h 45m,"Comedy,Romance"
242, The Sound of Music,2h 52m,"Biography,Drama,Family"
241, Cool Hand Luke,2h 7m,"Crime,Drama"
240, Rebecca,2h 10m,"Drama,Film-Noir,Mystery"
239, Amores Perros,2h 34m,"Drama,Thriller"
238, Pather Panchali,2h 5m,Drama
237, The Handmaiden,2h 25m,"Drama,Romance,Thriller"
236, Hachi: A Dog's Tale,1h 33m,"Biography,Drama,Family"
235, The Grapes of Wrath,2h 9m,Drama
234, The Battle of Algiers,2h 1m,"Drama,War"
233, My Father and My Son,1h 52m,"Drama,Family"
232, Groundhog Day,1h 41m,"Comedy,Drama,Fantasy"
231, To Be or Not to Be,1h 39m,"Comedy,Romance,War"
230, Pirates of the Caribbean: The Curse of the Black Pearl,2h 23m,"Action,Adventure,Fantasy"
229, The Incredibles,1h 55m,"Animation,Action,Adventure"
228, The Exorcist,2h 2m,Horror
227, La haine,1h 38m,"Crime,Drama"
226, The Wizard of Oz,1h 42m,"Adventure,Family,Fantasy"
225, The Best Years of Our Lives,2h 50m,"Drama,Romance,War"
224, Into the Wild,2h 28m,"Adventure,Biography,Drama"
223, Stand by Me,1h 29m,"Adventure,Drama"
222, Network,2h 1m,Drama
221, Before Sunset,1h 20m,"Drama,Romance"
220, Rush,2h 3m,"Action,Biography,Drama"
219, Jai Bhim,2h 44m,"Crime,Drama,Mystery"
218, The Terminator,1h 47m,"Action,Sci-Fi"
217, Spotlight,2h 9m,"Biography,Crime,Drama"
216, Logan,2h 17m,"Action,Drama,Sci-Fi"
215, Platoon,2h,"Drama,War"
214, Rocky,2h,"Drama,Sport"
213, Ratatouille,1h 51m,"Animation,Adventure,Comedy"
212, Hotel Rwanda,2h 1m,"Biography,Drama,History"
211, The Passion of Joan of Arc,1h 54m,"Biography,Drama,History"
210, Ford v Ferrari,2h 32m,"Action,Biography,Drama"
209, The Big Lebowski,1h 57m,"Comedy,Crime"
208, Tokyo Story,2h 16m,Drama
207, Room,1h 58m,"Drama,Thriller"
206, Jaws,2h 4m,"Adventure,Mystery,Thriller"
205, The Seventh Seal,1h 36m,"Drama,Fantasy"
204, How to Train Your Dragon,1h 38m,"Animation,Action,Adventure"
203," Monsters, Inc.",1h 32m,"Animation,Adventure,Comedy"
202, Mary and Max,1h 32m,"Animation,Comedy,Drama"
201, Dead Poets Society,2h 8m,"Comedy,Drama"
200, Mad Max: Fury Road,2h,"Action,Adventure,Sci-Fi"
199, Mr. Smith Goes to Washington,2h 9m,"Comedy,Drama"
198, Wild Tales,2h 2m,"Comedy,Drama,Thriller"
197, Sherlock Jr.,45m,"Action,Comedy,Romance"
196, Memories of Murder,2h 12m,"Crime,Drama,Mystery"
195, The Wages of Fear,2h 11m,"Adventure,Drama,Thriller"
194, The Third Man,1h 33m,"Film-Noir,Mystery,Thriller"
193, Hacksaw Ridge,2h 19m,"Biography,Drama,History"
191, In the Name of the Father,2h 13m,"Biography,Crime,Drama"
192, The Deer Hunter,3h 3m,"Drama,War"
